tour,slam,year,matches,matches_lt_1,pct_matches_lt_1,matches_lt_5,pct_matches_lt_5,matches_lt_10,pct_matches_lt_10,matches_lt_20,pct_matches_lt_20,matches_missing_id
ATP,Wimbledon,2023,127,1,0.7874015748031497,7,5.511811023622047,12,9.448818897637794,23,18.11023622047244,0
ATP,Wimbledon,2024,127,0,0.0,10,7.874015748031496,15,11.811023622047244,25,19.68503937007874,0
ATP,Wimbledon,2025,127,4,3.1496062992125986,12,9.448818897637794,18,14.173228346456693,24,18.89763779527559,0
WTA,Australian Open,1988,127,6,4.724409448818897,20,15.748031496062993,42,33.07086614173228,60,47.24409448818898,0
WTA,Australian Open,1989,127,6,4.724409448818897,13,10.236220472440944,26,20.47244094488189,44,34.645669291338585,0
WTA,Australian Open,1990,127,5,3.937007874015748,15,11.811023622047244,21,16.53543307086614,48,37.79527559055118,0
WTA,Australian Open,1991,127,5,3.937007874015748,18,14.173228346456693,30,23.62204724409449,35,27.559055118110237,0
WTA,Australian Open,1992,127,0,0.0,7,5.511811023622047,19,14.960629921259843,32,25.19685039370079,0
WTA,Australian Open,1993,127,0,0.0,4,3.1496062992125986,12,9.448818897637794,20,15.748031496062993,0
WTA,Australian Open,1994,127,0,0.0,5,3.937007874015748,8,6.299212598425197,23,18.11023622047244,0
WTA,Australian Open,1995,127,0,0.0,7,5.511811023622047,11,8.661417322834646,17,13.385826771653543,0
WTA,Australian Open,1996,127,2,1.5748031496062993,4,3.1496062992125986,9,7.086614173228346,17,13.385826771653543,0
WTA,Australian Open,1997,127,0,0.0,4,3.1496062992125986,13,10.236220472440944,20,15.748031496062993,0
WTA,Australian Open,1998,127,0,0.0,3,2.3622047244094486,12,9.448818897637794,20,15.748031496062993,0
WTA,Australian Open,1999,127,0,0.0,9,7.086614173228346,11,8.661417322834646,27,21.25984251968504,0
WTA,Australian Open,2000,127,0,0.0,7,5.511811023622047,9,7.086614173228346,24,18.89763779527559,0
WTA,Australian Open,2001,127,1,0.7874015748031497,1,0.7874015748031497,12,9.448818897637794,30,23.62204724409449,0
WTA,Australian Open,2002,127,0,0.0,4,3.1496062992125986,9,7.086614173228346,20,15.748031496062993,0
WTA,Australian Open,2003,127,0,0.0,3,2.3622047244094486,10,7.874015748031496,21,16.53543307086614,0
WTA,Australian Open,2004,127,1,0.7874015748031497,9,7.086614173228346,16,12.598425196850394,21,16.53543307086614,0
WTA,Australian Open,2005,127,0,0.0,4,3.1496062992125986,18,14.173228346456693,33,25.984251968503937,0
WTA,Australian Open,2006,127,1,0.7874015748031497,2,1.5748031496062993,4,3.1496062992125986,23,18.11023622047244,0
WTA,Australian Open,2007,127,2,1.5748031496062993,3,2.3622047244094486,9,7.086614173228346,22,17.322834645669293,0
WTA,Australian Open,2008,127,0,0.0,11,8.661417322834646,14,11.023622047244094,19,14.960629921259843,0
WTA,Australian Open,2009,127,2,1.5748031496062993,7,5.511811023622047,12,9.448818897637794,16,12.598425196850394,0
WTA,Australian Open,2010,127,0,0.0,1,0.7874015748031497,9,7.086614173228346,11,8.661417322834646,0
WTA,Australian Open,2011,127,3,2.3622047244094486,5,3.937007874015748,15,11.811023622047244,19,14.960629921259843,0
WTA,Australian Open,2012,127,1,0.7874015748031497,6,4.724409448818897,11,8.661417322834646,25,19.68503937007874,0
WTA,Australian Open,2013,127,1,0.7874015748031497,8,6.299212598425197,13,10.236220472440944,34,26.771653543307085,0
WTA,Australian Open,2014,127,0,0.0,4,3.1496062992125986,11,8.661417322834646,20,15.748031496062993,0
WTA,Australian Open,2015,127,2,1.5748031496062993,8,6.299212598425197,9,7.086614173228346,22,17.322834645669293,0
WTA,Australian Open,2016,127,0,0.0,5,3.937007874015748,11,8.661417322834646,22,17.322834645669293,0
WTA,Australian Open,2017,127,1,0.7874015748031497,9,7.086614173228346,17,13.385826771653543,21,16.53543307086614,0
WTA,Australian Open,2018,127,5,3.937007874015748,8,6.299212598425197,12,9.448818897637794,21,16.53543307086614,0
WTA,Australian Open,2019,127,3,2.3622047244094486,11,8.661417322834646,16,12.598425196850394,24,18.89763779527559,0
WTA,Australian Open,2020,127,0,0.0,3,2.3622047244094486,4,3.1496062992125986,16,12.598425196850394,0
WTA,Australian Open,2021,127,0,0.0,1,0.7874015748031497,5,3.937007874015748,15,11.811023622047244,0
WTA,Australian Open,2022,127,1,0.7874015748031497,3,2.3622047244094486,8,6.299212598425197,23,18.11023622047244,0
WTA,Australian Open,2023,127,3,2.3622047244094486,7,5.511811023622047,14,11.023622047244094,24,18.89763779527559,0
WTA,Australian Open,2024,127,1,0.7874015748031497,8,6.299212598425197,19,14.960629921259843,23,18.11023622047244,0
WTA,Australian Open,2025,127,0,0.0,6,4.724409448818897,8,6.299212598425197,16,12.598425196850394,0
WTA,Roland Garros,1988,127,5,3.937007874015748,19,14.960629921259843,23,18.11023622047244,31,24.409448818897637,0
WTA,Roland Garros,1989,127,0,0.0,4,3.1496062992125986,12,9.448818897637794,33,25.984251968503937,0
WTA,Roland Garros,1990,127,2,1.5748031496062993,8,6.299212598425197,11,8.661417322834646,20,15.748031496062993,0
WTA,Roland Garros,1991,127,0,0.0,2,1.5748031496062993,5,3.937007874015748,10,7.874015748031496,0
WTA,Roland Garros,1992,127,2,1.5748031496062993,4,3.1496062992125986,7,5.511811023622047,12,9.448818897637794,0
WTA,Roland Garros,1993,127,0,0.0,3,2.3622047244094486,10,7.874015748031496,23,18.11023622047244,0
WTA,Roland Garros,1994,127,0,0.0,2,1.5748031496062993,6,4.724409448818897,13,10.236220472440944,0
WTA,Roland Garros,1995,127,5,3.937007874015748,7,5.511811023622047,7,5.511811023622047,8,6.299212598425197,0
WTA,Roland Garros,1996,127,0,0.0,5,3.937007874015748,12,9.448818897637794,19,14.960629921259843,0
WTA,Roland Garros,1997,127,6,4.724409448818897,8,6.299212598425197,13,10.236220472440944,26,20.47244094488189,0
WTA,Roland Garros,1998,127,3,2.3622047244094486,10,7.874015748031496,18,14.173228346456693,24,18.89763779527559,0
WTA,Roland Garros,1999,127,4,3.1496062992125986,7,5.511811023622047,13,10.236220472440944,17,13.385826771653543,0
WTA,Roland Garros,2000,127,2,1.5748031496062993,13,10.236220472440944,15,11.811023622047244,27,21.25984251968504,0
WTA,Roland Garros,2001,127,1,0.7874015748031497,4,3.1496062992125986,11,8.661417322834646,21,16.53543307086614,0
WTA,Roland Garros,2002,127,2,1.5748031496062993,7,5.511811023622047,7,5.511811023622047,18,14.173228346456693,0
WTA,Roland Garros,2003,127,3,2.3622047244094486,7,5.511811023622047,11,8.661417322834646,21,16.53543307086614,0
WTA,Roland Garros,2004,127,1,0.7874015748031497,4,3.1496062992125986,7,5.511811023622047,14,11.023622047244094,0
WTA,Roland Garros,2005,127,7,5.511811023622047,8,6.299212598425197,11,8.661417322834646,18,14.173228346456693,0
WTA,Roland Garros,2006,127,1,0.7874015748031497,12,9.448818897637794,13,10.236220472440944,25,19.68503937007874,0
WTA,Roland Garros,2007,127,0,0.0,4,3.1496062992125986,8,6.299212598425197,28,22.04724409448819,0
WTA,Roland Garros,2008,127,1,0.7874015748031497,5,3.937007874015748,13,10.236220472440944,31,24.409448818897637,0
WTA,Roland Garros,2009,127,1,0.7874015748031497,9,7.086614173228346,12,9.448818897637794,20,15.748031496062993,0
WTA,Roland Garros,2010,127,1,0.7874015748031497,4,3.1496062992125986,6,4.724409448818897,16,12.598425196850394,0
WTA,Roland Garros,2011,127,0,0.0,6,4.724409448818897,10,7.874015748031496,18,14.173228346456693,0
WTA,Roland Garros,2012,127,2,1.5748031496062993,8,6.299212598425197,13,10.236220472440944,17,13.385826771653543,0
WTA,Roland Garros,2013,127,0,0.0,7,5.511811023622047,8,6.299212598425197,19,14.960629921259843,0
WTA,Roland Garros,2014,127,2,1.5748031496062993,3,2.3622047244094486,9,7.086614173228346,16,12.598425196850394,0
WTA,Roland Garros,2015,127,1,0.7874015748031497,9,7.086614173228346,13,10.236220472440944,17,13.385826771653543,0
WTA,Roland Garros,2016,127,2,1.5748031496062993,3,2.3622047244094486,7,5.511811023622047,16,12.598425196850394,0
WTA,Roland Garros,2017,127,0,0.0,7,5.511811023622047,8,6.299212598425197,17,13.385826771653543,0
WTA,Roland Garros,2018,127,1,0.7874015748031497,6,4.724409448818897,11,8.661417322834646,20,15.748031496062993,0
WTA,Roland Garros,2019,127,5,3.937007874015748,11,8.661417322834646,15,11.811023622047244,26,20.47244094488189,0
WTA,Roland Garros,2020,127,1,0.7874015748031497,6,4.724409448818897,10,7.874015748031496,23,18.11023622047244,0
WTA,Roland Garros,2021,127,1,0.7874015748031497,2,1.5748031496062993,7,5.511811023622047,14,11.023622047244094,0
WTA,Roland Garros,2022,127,4,3.1496062992125986,10,7.874015748031496,16,12.598425196850394,26,20.47244094488189,0
WTA,Roland Garros,2023,127,0,0.0,4,3.1496062992125986,14,11.023622047244094,27,21.25984251968504,0
WTA,Roland Garros,2024,127,2,1.5748031496062993,4,3.1496062992125986,7,5.511811023622047,13,10.236220472440944,0
WTA,Roland Garros,2025,127,4,3.1496062992125986,13,10.236220472440944,20,15.748031496062993,26,20.47244094488189,0
WTA,US Open,1988,127,0,0.0,3,2.3622047244094486,8,6.299212598425197,15,11.811023622047244,0
WTA,US Open,1989,127,1,0.7874015748031497,2,1.5748031496062993,9,7.086614173228346,15,11.811023622047244,0
WTA,US Open,1990,127,3,2.3622047244094486,4,3.1496062992125986,4,3.1496062992125986,10,7.874015748031496,0
WTA,US Open,1991,127,0,0.0,7,5.511811023622047,11,8.661417322834646,17,13.385826771653543,0
WTA,US Open,1992,127,4,3.1496062992125986,8,6.299212598425197,13,10.236220472440944,26,20.47244094488189,0
WTA,US Open,1993,127,1,0.7874015748031497,1,0.7874015748031497,4,3.1496062992125986,17,13.385826771653543,0
WTA,US Open,1994,127,1,0.7874015748031497,2,1.5748031496062993,4,3.1496062992125986,11,8.661417322834646,0
WTA,US Open,1995,127,1,0.7874015748031497,2,1.5748031496062993,6,4.724409448818897,17,13.385826771653543,0
WTA,US Open,1996,127,3,2.3622047244094486,11,8.661417322834646,16,12.598425196850394,28,22.04724409448819,0
WTA,US Open,1997,127,2,1.5748031496062993,10,7.874015748031496,10,7.874015748031496,12,9.448818897637794,0
WTA,US Open,1998,127,3,2.3622047244094486,12,9.448818897637794,18,14.173228346456693,23,18.11023622047244,0
WTA,US Open,1999,127,3,2.3622047244094486,7,5.511811023622047,14,11.023622047244094,21,16.53543307086614,0
WTA,US Open,2000,127,7,5.511811023622047,9,7.086614173228346,17,13.385826771653543,27,21.25984251968504,0
WTA,US Open,2001,127,2,1.5748031496062993,12,9.448818897637794,15,11.811023622047244,31,24.409448818897637,0
WTA,US Open,2002,127,6,4.724409448818897,11,8.661417322834646,13,10.236220472440944,23,18.11023622047244,0
WTA,US Open,2003,127,2,1.5748031496062993,7,5.511811023622047,13,10.236220472440944,20,15.748031496062993,0
WTA,US Open,2004,127,2,1.5748031496062993,8,6.299212598425197,15,11.811023622047244,23,18.11023622047244,0
WTA,US Open,2005,127,4,3.1496062992125986,12,9.448818897637794,12,9.448818897637794,20,15.748031496062993,0
WTA,US Open,2006,127,2,1.5748031496062993,4,3.1496062992125986,11,8.661417322834646,22,17.322834645669293,0
WTA,US Open,2007,127,3,2.3622047244094486,11,8.661417322834646,16,12.598425196850394,28,22.04724409448819,0
WTA,US Open,2008,127,4,3.1496062992125986,10,7.874015748031496,13,10.236220472440944,18,14.173228346456693,0
WTA,US Open,2009,127,2,1.5748031496062993,11,8.661417322834646,12,9.448818897637794,18,14.173228346456693,0
WTA,US Open,2010,127,6,4.724409448818897,11,8.661417322834646,12,9.448818897637794,16,12.598425196850394,0
WTA,US Open,2011,127,0,0.0,3,2.3622047244094486,4,3.1496062992125986,21,16.53543307086614,0
WTA,US Open,2012,127,2,1.5748031496062993,9,7.086614173228346,11,8.661417322834646,23,18.11023622047244,0
WTA,US Open,2013,127,2,1.5748031496062993,2,1.5748031496062993,10,7.874015748031496,18,14.173228346456693,0
WTA,US Open,2014,127,3,2.3622047244094486,6,4.724409448818897,10,7.874015748031496,24,18.89763779527559,0
WTA,US Open,2015,127,3,2.3622047244094486,4,3.1496062992125986,10,7.874015748031496,23,18.11023622047244,0
WTA,US Open,2016,127,1,0.7874015748031497,6,4.724409448818897,9,7.086614173228346,18,14.173228346456693,0
WTA,US Open,2017,127,3,2.3622047244094486,11,8.661417322834646,13,10.236220472440944,19,14.960629921259843,0
WTA,US Open,2018,127,1,0.7874015748031497,10,7.874015748031496,11,8.661417322834646,25,19.68503937007874,0
WTA,US Open,2019,127,1,0.7874015748031497,2,1.5748031496062993,16,12.598425196850394,20,15.748031496062993,0
WTA,US Open,2020,127,3,2.3622047244094486,8,6.299212598425197,14,11.023622047244094,32,25.19685039370079,0
WTA,US Open,2021,127,1,0.7874015748031497,2,1.5748031496062993,16,12.598425196850394,23,18.11023622047244,0
WTA,US Open,2022,127,2,1.5748031496062993,8,6.299212598425197,16,12.598425196850394,21,16.53543307086614,0
WTA,US Open,2023,127,1,0.7874015748031497,5,3.937007874015748,7,5.511811023622047,11,8.661417322834646,0
WTA,US Open,2024,127,5,3.937007874015748,5,3.937007874015748,10,7.874015748031496,20,15.748031496062993,0
WTA,US Open,2025,127,2,1.5748031496062993,6,4.724409448818897,10,7.874015748031496,18,14.173228346456693,0
WTA,Wimbledon,1988,127,2,1.5748031496062993,7,5.511811023622047,14,11.023622047244094,18,14.173228346456693,0
WTA,Wimbledon,1989,127,1,0.7874015748031497,4,3.1496062992125986,11,8.661417322834646,21,16.53543307086614,0
WTA,Wimbledon,1990,127,0,0.0,0,0.0,4,3.1496062992125986,11,8.661417322834646,0
WTA,Wimbledon,1991,127,4,3.1496062992125986,7,5.511811023622047,8,6.299212598425197,19,14.960629921259843,0
WTA,Wimbledon,1992,127,1,0.7874015748031497,5,3.937007874015748,7,5.511811023622047,14,11.023622047244094,0
WTA,Wimbledon,1993,127,3,2.3622047244094486,5,3.937007874015748,8,6.299212598425197,16,12.598425196850394,0
WTA,Wimbledon,1994,127,1,0.7874015748031497,4,3.1496062992125986,5,3.937007874015748,10,7.874015748031496,0
WTA,Wimbledon,1995,127,0,0.0,2,1.5748031496062993,10,7.874015748031496,12,9.448818897637794,0
WTA,Wimbledon,1996,127,0,0.0,5,3.937007874015748,9,7.086614173228346,17,13.385826771653543,0
WTA,Wimbledon,1997,127,1,0.7874015748031497,1,0.7874015748031497,4,3.1496062992125986,14,11.023622047244094,0
WTA,Wimbledon,1998,127,0,0.0,4,3.1496062992125986,6,4.724409448818897,24,18.89763779527559,0
WTA,Wimbledon,1999,127,1,0.7874015748031497,5,3.937007874015748,10,7.874015748031496,19,14.960629921259843,0
WTA,Wimbledon,2000,127,0,0.0,2,1.5748031496062993,7,5.511811023622047,14,11.023622047244094,0
WTA,Wimbledon,2001,127,0,0.0,4,3.1496062992125986,7,5.511811023622047,15,11.811023622047244,0
WTA,Wimbledon,2002,127,1,0.7874015748031497,4,3.1496062992125986,17,13.385826771653543,22,17.322834645669293,0
WTA,Wimbledon,2003,127,0,0.0,3,2.3622047244094486,9,7.086614173228346,20,15.748031496062993,0
WTA,Wimbledon,2004,127,3,2.3622047244094486,3,2.3622047244094486,10,7.874015748031496,16,12.598425196850394,0
WTA,Wimbledon,2005,127,1,0.7874015748031497,5,3.937007874015748,6,4.724409448818897,13,10.236220472440944,0
WTA,Wimbledon,2006,127,2,1.5748031496062993,8,6.299212598425197,13,10.236220472440944,25,19.68503937007874,0
WTA,Wimbledon,2007,127,0,0.0,5,3.937007874015748,11,8.661417322834646,17,13.385826771653543,0
WTA,Wimbledon,2008,127,0,0.0,1,0.7874015748031497,4,3.1496062992125986,16,12.598425196850394,0
WTA,Wimbledon,2009,127,0,0.0,7,5.511811023622047,8,6.299212598425197,15,11.811023622047244,0
WTA,Wimbledon,2010,127,0,0.0,5,3.937007874015748,10,7.874015748031496,15,11.811023622047244,0
WTA,Wimbledon,2011,127,1,0.7874015748031497,3,2.3622047244094486,9,7.086614173228346,17,13.385826771653543,0
WTA,Wimbledon,2012,127,1,0.7874015748031497,11,8.661417322834646,12,9.448818897637794,18,14.173228346456693,0
WTA,Wimbledon,2013,127,0,0.0,4,3.1496062992125986,4,3.1496062992125986,7,5.511811023622047,0
WTA,Wimbledon,2014,127,2,1.5748031496062993,7,5.511811023622047,15,11.811023622047244,19,14.960629921259843,0
WTA,Wimbledon,2015,127,0,0.0,1,0.7874015748031497,2,1.5748031496062993,17,13.385826771653543,0
WTA,Wimbledon,2016,127,0,0.0,3,2.3622047244094486,7,5.511811023622047,16,12.598425196850394,0
WTA,Wimbledon,2017,127,2,1.5748031496062993,2,1.5748031496062993,6,4.724409448818897,12,9.448818897637794,0
WTA,Wimbledon,2018,127,0,0.0,4,3.1496062992125986,11,8.661417322834646,17,13.385826771653543,0
WTA,Wimbledon,2019,127,0,0.0,5,3.937007874015748,10,7.874015748031496,20,15.748031496062993,0
WTA,Wimbledon,2021,127,0,0.0,6,4.724409448818897,9,7.086614173228346,14,11.023622047244094,0
WTA,Wimbledon,2022,127,2,1.5748031496062993,9,7.086614173228346,15,11.811023622047244,29,22.834645669291337,0
WTA,Wimbledon,2023,127,0,0.0,5,3.937007874015748,12,9.448818897637794,16,12.598425196850394,0
WTA,Wimbledon,2024,127,0,0.0,4,3.1496062992125986,14,11.023622047244094,27,21.25984251968504,0
WTA,Wimbledon,2025,127,0,0.0,4,3.1496062992125986,12,9.448818897637794,17,13.385826771653543,0
